100      100      1000     4        655      
200      100      1000     4        726      
300      100      1000     4        1642     
400      100      1000     4        1712     
500      100      1000     4        2073     
600      100      1000     4        2750     
700      100      1000     4        3807     
800      100      1000     4        3677     
900      100      1000     4        4128     
1000     100      1000     4        2774     
1100     100      1000     4        5696     
1200     100      1000     4        5123     
1300     100      1000     4        5291     
1400     100      1000     4        5419     
1500     100      1000     4        5765     
1600     100      1000     4        5862     
1700     100      1000     4        4221     
1800     100      1000     4        8163     
1900     100      1000     4        7316     
2000     100      1000     4        4871     
100      100      1000     4        416      
100      200      1000     4        1024     
100      300      1000     4        1588     
100      400      1000     4        1981     
100      500      1000     4        1355     
100      600      1000     4        2419     
100      700      1000     4        2692     
100      800      1000     4        3507     
100      900      1000     4        3516     
100      1000     1000     4        3999     
100      1100     1000     4        2569     
100      1200     1000     4        5076     
100      1300     1000     4        5375     
100      1400     1000     4        5787     
100      1500     1000     4        5756     
100      1600     1000     4        4222     
100      1700     1000     4        7252     
100      1800     1000     4        8894     
100      1900     1000     4        9447     
100      2000     1000     4        9944     
100      100      1000     4        511      
100      100      2000     4        659      
100      100      3000     4        792      
100      100      4000     4        1362     
100      100      5000     4        2056     
100      100      6000     4        2486     
100      100      7000     4        2597     
100      100      8000     4        3993     
100      100      9000     4        3353     
100      100      10000    4        4648     
100      100      11000    4        4064     
100      100      12000    4        4510     
100      100      13000    4        2583     
100      100      14000    4        5709     
100      100      15000    4        2967     
100      100      16000    4        5798     
100      100      17000    4        7774     
100      100      18000    4        6528     
100      100      19000    4        7337     
100      100      20000    4        7338     
