100      100      1000     12       455      
200      100      1000     12       730      
300      100      1000     12       1017     
400      100      1000     12       887      
500      100      1000     12       1598     
600      100      1000     12       1728     
700      100      1000     12       1748     
800      100      1000     12       1884     
900      100      1000     12       2740     
1000     100      1000     12       2611     
1100     100      1000     12       2847     
1200     100      1000     12       3162     
1300     100      1000     12       2945     
1400     100      1000     12       4062     
1500     100      1000     12       3689     
1600     100      1000     12       3871     
1700     100      1000     12       3672     
1800     100      1000     12       2614     
1900     100      1000     12       5070     
2000     100      1000     12       4517     
100      100      1000     12       379      
100      200      1000     12       672      
100      300      1000     12       856      
100      400      1000     12       1087     
100      500      1000     12       832      
100      600      1000     12       777      
100      700      1000     12       1321     
100      800      1000     12       1556     
100      900      1000     12       1769     
100      1000     1000     12       1077     
100      1100     1000     12       1171     
100      1200     1000     12       2254     
100      1300     1000     12       2558     
100      1400     1000     12       2784     
100      1500     1000     12       2888     
100      1600     1000     12       2982     
100      1700     1000     12       3401     
100      1800     1000     12       3512     
100      1900     1000     12       3932     
100      2000     1000     12       4645     
100      100      1000     12       401      
100      100      2000     12       644      
100      100      3000     12       762      
100      100      4000     12       1106     
100      100      5000     12       1297     
100      100      6000     12       1394     
100      100      7000     12       1325     
100      100      8000     12       1491     
100      100      9000     12       1703     
100      100      10000    12       1963     
100      100      11000    12       2068     
100      100      12000    12       2287     
100      100      13000    12       1412     
100      100      14000    12       2576     
100      100      15000    12       2738     
100      100      16000    12       2713     
100      100      17000    12       2953     
100      100      18000    12       3114     
100      100      19000    12       3255     
100      100      20000    12       2065     
